TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3);Target
42225;262.19;268.95;261.01;265.05;8870.58;2343259.51;264.16;278.418;283.655;270.67;264.26
42226;265.05;266.79;261.6;264.33;9697.42;2562673.47;264.26;276.429;282.7123333;266.2866667;266.27
42227;264.11;271.5;264.07;271.15;8394.12;2235123.97;266.27;275.013;281.363;264.8966667;268.12
42228;271.15;271.16;265.71;267.73;9520.31;2552596.78;268.12;273.882;280.583;266.2166667;265.1
42229;267.53;267.88;262.32;264.48;10710.97;2839488.04;265.1;272.076;279.7163333;266.4966667;264.8
42230;264.74;266.99;262;265.4;8012.6;2121755.48;264.8;270.185;278.8716667;266.0066667;264.44
42231;265.57;266.5;260.45;261.46;5485.63;1450606.74;264.44;268.376;278.3073333;264.78;257.5
42232;261.46;262.2;254.01;256.11;9633.28;2480559.46;257.5;266.25;277.667;262.2466667;256.96
42233;256.11;259.12;254.63;256.47;8655.19;2224063.1;256.96;264.205;276.9396667;259.6333333;247.31
42234;256.66;256.99;221.11;224.8;16141.82;3992017.85;247.31;261.892;275.9803333;253.9233333;231.23
42235;224;237.66;222.01;226.92;24295.07;5617682.67;231.23;258.599;274.4423333;245.1666667;233.43
42236;226.4;236.66;226.4;235.54;15812.33;3691074.43;233.43;255.516;272.9213333;237.3233333;233.77
42237;235.15;236.66;231.77;233.49;10296.32;2406953.01;233.77;252.266;271.4966667;232.81;229.15
42238;233.5;235.2;223.01;231;15856.25;3633435.05;229.15;248.369;269.8973333;232.1166667;229.59
42239;231;234.03;225.85;228.89;12842.47;2948508.07;229.59;244.818;268.061;230.8366667;217.32
42240;228.35;228.99;207.73;209.72;37523.08;8154700.2;217.32;240.07;265.6683333;225.3533333;214.88
42241;209.76;228.04;198.12;222.38;42308.01;9091324.5;214.88;235.114;263.11;220.5966667;226.38
42242;222.38;231.09;219.77;225.8;24007.6;5434957.38;226.38;232.002;260.9253333;219.5266667;226.22
42243;225.8;228.89;223.17;225.09;14366.26;3249912.03;226.22;228.928;258.6443333;222.4933333;228.9
42244;225.09;235.93;220.29;231.65;22900.19;5241943.61;228.9;227.087;256.5846667;227.1666667;230.18
42245;231.76;233.9;226.67;230.54;15490.56;3565617.59;230.18;226.982;254.6663333;228.4333333;228.14
42246;230.41;232.75;225.04;229;15486.36;3532995.3;228.14;226.453;252.7993333;229.0733333;228.86
42247;229.04;232.49;224.39;229.86;15803.52;3616802.14;228.86;225.962;251.0803333;229.06;228.21
42248;230.25;231.67;226.17;227.96;23925.19;5460038.14;228.21;225.868;249.373;228.4033333;228.65
42249;227.97;230.77;226;229.18;21470.77;4909260.74;228.65;225.774;247.556;228.5733333;227.7
42250;228.95;229.96;226.5;227.28;19739.63;4494648.76;227.7;226.812;245.689;228.1866667;229.35
42251;227.24;231.4;226.33;230.52;20870.02;4786524.88;229.35;228.259;243.9163333;228.5666667;233.43
42252;230.72;237.22;229.23;235.6;20103.04;4692704.3;233.43;228.964;242.4053333;230.16;240.42
42253;235.39;244.2;235.02;240.28;25758.89;6192929.55;240.42;230.384;241.1723333;234.4;240.46
42254;240.28;242.91;238.44;240.19;23152.03;5567107.97;240.46;231.54;240.173;238.1033333;243.69
42255;240.07;246.24;239.98;244.21;24023.88;5854496.86;243.69;232.891;239.4906667;241.5233333;239.95
42256;244.04;244.22;237.01;238.35;23251.87;5579259.42;239.95;234.072;238.6803333;241.3666667;239.15
42257;238.35;241.65;234.78;238.66;20694.92;4949167.98;239.15;235.101;237.7763333;240.93;239.69
42258;238.57;240.94;237.5;240;13805.18;3309006.87;239.69;236.249;236.8286667;239.5966667;237.48
42259;239.92;240;233.02;234.79;17449.12;4143757.66;237.48;237.132;235.908;238.7733333;231.29
42260;234.79;236.09;228;229.66;19655.12;4546007.73;231.29;237.491;234.791;236.1533333;229.56
42261;229.66;232.92;223.99;229.71;16674.86;3827895.68;229.56;237.512;233.6283333;232.7766667;229.88
42262;229.84;231.21;226.5;230.03;17298.61;3976679.57;229.88;237.157;232.7076667;230.2433333;227.63
42263;229.99;230.5;223;228.34;18169.46;4135855.71;227.63;235.878;231.73;229.0233333;230.79
42264;228.34;235;227;232.17;14645.74;3380034.36;230.79;234.911;231.1793333;229.4333333;233.06
42265;232.2;234.4;230.83;233.12;19458.9;4535082.43;233.06;233.848;231.2403333;230.4933333;231.65
42266;233.24;233.76;229.89;230;11230.76;2601612.8;231.65;233.018;231.181;231.8333333;230.39
42267;230;231.7;229;230.16;13401.14;3087488.55;230.39;232.142;231.0683333;231.7;227.04
42268;230.1;230.15;225;226.15;14081.31;3196957.23;227.04;230.877;230.998;229.6933333;228.25
42269;226.15;231.96;223.12;230.42;19332.88;4412739.07;228.25;229.954;230.9533333;228.56;230.09
42270;230.08;231.5;228;229.42;13586.09;3126033.69;230.09;229.834;231.379;228.46;231.73
42271;229.42;235.52;228.89;233.86;24202.74;5608546.02;231.73;230.051;231.9406667;230.0233333;235.19
