TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3)
22.08.2015;233.5;235.2;223.01;231;15856.25;3633435.05;229.15;248.369;269.8973333;232.1166667
23.08.2015;231;234.03;225.85;228.89;12842.47;2948508.07;229.59;244.818;268.061;230.8366667
24.08.2015;228.35;228.99;207.73;209.72;37523.08;8154700.2;217.32;240.07;265.6683333;225.3533333
25.08.2015;209.76;228.04;198.12;222.38;42308.01;9091324.5;214.88;235.114;263.11;220.5966667
26.08.2015;222.38;231.09;219.77;225.8;24007.6;5434957.38;226.38;232.002;260.9253333;219.5266667
27.08.2015;225.8;228.89;223.17;225.09;14366.26;3249912.03;226.22;228.928;258.6443333;222.4933333
28.08.2015;225.09;235.93;220.29;231.65;22900.19;5241943.61;228.9;227.087;256.5846667;227.1666667
29.08.2015;231.76;233.9;226.67;230.54;15490.56;3565617.59;230.18;226.982;254.6663333;228.4333333
30.08.2015;230.41;232.75;225.04;229;15486.36;3532995.3;228.14;226.453;252.7993333;229.0733333
31.08.2015;229.04;232.49;224.39;229.86;15803.52;3616802.14;228.86;225.962;251.0803333;229.06
01.09.2015;230.25;231.67;226.17;227.96;23925.19;5460038.14;228.21;225.868;249.373;228.4033333
02.09.2015;227.97;230.77;226;229.18;21470.77;4909260.74;228.65;225.774;247.556;228.5733333
03.09.2015;228.95;229.96;226.5;227.28;19739.63;4494648.76;227.7;226.812;245.689;228.1866667
04.09.2015;227.24;231.4;226.33;230.52;20870.02;4786524.88;229.35;228.259;243.9163333;228.5666667
05.09.2015;230.72;237.22;229.23;235.6;20103.04;4692704.3;233.43;228.964;242.4053333;230.16
06.09.2015;235.39;244.2;235.02;240.28;25758.89;6192929.55;240.42;230.384;241.1723333;234.4
07.09.2015;240.28;242.91;238.44;240.19;23152.03;5567107.97;240.46;231.54;240.173;238.1033333
08.09.2015;240.07;246.24;239.98;244.21;24023.88;5854496.86;243.69;232.891;239.4906667;241.5233333
09.09.2015;244.04;244.22;237.01;238.35;23251.87;5579259.42;239.95;234.072;238.6803333;241.3666667
10.09.2015;238.35;241.65;234.78;238.66;20694.92;4949167.98;239.15;235.101;237.7763333;240.93
11.09.2015;238.57;240.94;237.5;240;13805.18;3309006.87;239.69;236.249;236.8286667;239.5966667
12.09.2015;239.92;240;233.02;234.79;17449.12;4143757.66;237.48;237.132;235.908;238.7733333
13.09.2015;234.79;236.09;228;229.66;19655.12;4546007.73;231.29;237.491;234.791;236.1533333
14.09.2015;229.66;232.92;223.99;229.71;16674.86;3827895.68;229.56;237.512;233.6283333;232.7766667
15.09.2015;229.84;231.21;226.5;230.03;17298.61;3976679.57;229.88;237.157;232.7076667;230.2433333
16.09.2015;229.99;230.5;223;228.34;18169.46;4135855.71;227.63;235.878;231.73;229.0233333
17.09.2015;228.34;235;227;232.17;14645.74;3380034.36;230.79;234.911;231.1793333;229.4333333
18.09.2015;232.2;234.4;230.83;233.12;19458.9;4535082.43;233.06;233.848;231.2403333;230.4933333
19.09.2015;233.24;233.76;229.89;230;11230.76;2601612.8;231.65;233.018;231.181;231.8333333
20.09.2015;230;231.7;229;230.16;13401.14;3087488.55;230.39;232.142;231.0683333;231.7
21.09.2015;230.1;230.15;225;226.15;14081.31;3196957.23;227.04;230.877;230.998;229.6933333
22.09.2015;226.15;231.96;223.12;230.42;19332.88;4412739.07;228.25;229.954;230.9533333;228.56
23.09.2015;230.08;231.5;228;229.42;13586.09;3126033.69;230.09;229.834;231.379;228.46
24.09.2015;229.42;235.52;228.89;233.86;24202.74;5608546.02;231.73;230.051;231.9406667;230.0233333
25.09.2015;233.88;237.25;232.56;235.22;22555.45;5304812.21;235.19;230.582;232.2343333;232.3366667
26.09.2015;235.14;235.67;233;233.81;15109.42;3540710.51;234.34;231.253;232.505;233.7533333
27.09.2015;233.81;234.61;231.16;232.41;17506.45;4071220.18;232.56;231.43;232.627;234.03
28.09.2015;232.4;239.68;231.69;239.14;17566.83;4169714.96;237.36;231.86;232.8663333;234.7533333
29.09.2015;239.14;240.56;235.09;236.94;19877.45;4723484.69;237.63;232.458;233.1826667;235.85
30.09.2015;236.78;238.27;234.67;236.2;20934.85;4947383.3;236.32;233.051;233.4313333;237.1033333
01.10.2015;235.87;239.44;235.01;237.15;20341.01;4823180.2;237.12;234.059;233.7283333;237.0233333
02.10.2015;238;239.06;235;237.77;16908.03;4015993.34;237.52;234.986;234.024;236.9866667
03.10.2015;237.77;239.86;236.3;238.95;17825.62;4247863.44;238.3;235.807;234.3773333;237.6466667
04.10.2015;239.06;239.98;237.62;238.6;15015.07;3587379.78;238.92;236.526;234.6963333;238.2466667
05.10.2015;238.6;240.85;236.1;240.84;20316.5;4840156.01;238.24;236.831;234.8566667;238.4866667
06.10.2015;240.85;248.19;239.52;246.57;26684.25;6485292.24;243.04;237.701;234.944;240.0666667
07.10.2015;246.79;247.65;242.3;243.2;23768.2;5823652.61;245.02;238.947;235.096;242.1
08.10.2015;243.47;244.76;242.06;242.9;13983.75;3407661.33;243.69;239.58;235.096;243.9166667
09.10.2015;243.29;244.95;242.16;244.48;14099.92;3433311.67;243.5;240.167;235.2143333;244.07
10.10.2015;244.49;246.43;243;245.71;17313.14;4239440.73;244.87;241.022;235.405;244.02
11.10.2015;245.71;248.5;244.53;248.05;19140.36;4731236.29;247.19;242.029;235.655;245.1866667
12.10.2015;248.05;248.47;245.01;245.81;10671.7;2633713.48;246.79;242.956;235.9653333;246.2833333
13.10.2015;245.81;250.89;242.82;249.73;25901.6;6380494.84;246.34;243.76;236.467;246.7733333
14.10.2015;249.97;255.93;248.06;252.47;26942.87;6753537.33;250.66;244.934;237.1703333;247.93
15.10.2015;252.47;256.5;250.3;254.49;22037.63;5614843.82;254.78;246.588;238.0003333;250.5933333
16.10.2015;254.49;267;253.69;263.09;34816.74;9087466.92;261.01;248.385;239.113;255.4833333
17.10.2015;263.09;273;260.8;270.07;25328.15;6801861.48;268.55;250.738;240.3716667;261.4466667
18.10.2015;270.04;271.17;260;261.05;10003.13;2644951.59;264.41;252.81;241.4166667;264.6566667
19.10.2015;260.99;266.01;259.82;263.66;16704.7;4381700.26;262.3;254.69;242.4383333;265.0866667
20.10.2015;264.28;272.95;262.67;270.64;28967.44;7721192.76;266.55;256.858;243.6436667;264.42
21.10.2015;270.3;272.69;264;267.89;20396.78;5479672.38;268.65;259.004;245.0306667;265.8333333
22.10.2015;267.9;280.04;267.39;275.21;30166.43;8260174.53;273.82;261.707;246.5496667;269.6733333
23.10.2015;275.21;280.19;273.46;278.6;21572.27;5984624.45;277.42;264.815;248.1273333;273.2966667
24.10.2015;278.6;284;278.22;282.84;20586.34;5767325.87;280.15;267.764;249.7413333;277.13
25.10.2015;283.03;296;282.2;283.96;30003.59;8680118.09;289.3;271.216;251.545;282.29
26.10.2015;283.96;286.99;279.25;286.9;21266.47;6035103.1;283.78;273.493;253.193;284.41
27.10.2015;286.9;300;286.15;295.54;34002.15;9964151.03;293.04;275.942;255.209;288.7066667
28.10.2015;295.8;308.48;294.4;305.67;31263.17;9436170.14;301.83;279.684;257.358;292.8833333
